"season","week","offense_team","games_played","total_plays","pass_plays","run_plays","pass_rate","avg_yards_per_play","avg_yards_per_pass","avg_yards_per_run","avg_epa_per_play","avg_epa_pass","avg_epa_run","success_rate","explosive_play_rate","stuff_rate","sack_rate","turnovers_lost","turnover_rate","touchdowns","third_down_attempts","third_down_conversions","third_down_rate","red_zone_plays","red_zone_tds","red_zone_td_rate","two_min_plays","two_min_epa","plays_per_game","seconds_per_play","roll3_epa","roll3_success_rate","roll3_explosive_rate","roll3_third_down","roll3_red_zone_td","roll3_pace","composite_epa","epa_rank","pass_epa_rank","run_epa_rank","success_rank","third_down_rank","red_zone_rank"
2025,6,"ARI",1,69,46,23,0.666666666666667,5.73913043478261,6.78260869565217,3.65217391304348,0.101198903208959,0.136045528475053,0.0315056526767718,0.478260869565217,0.130434782608696,0.376811594202899,0.0434782608695652,1,0.0144927536231884,3,14,9,0.642857142857143,18,3,0.166666666666667,10,-0.354661140136886,69,NA,-0.014090121875947,0.41014566961271,0.0916946800537263,0.503174603174603,0.275793650793651,64.6666666666667,0.0942295781557404,13,14,10,10,2,14.5
2025,6,"ATL",1,65,34,31,0.523076923076923,6.83076923076923,6.85294117647059,6.80645161290323,0.0667959427191861,-0.0123314656132826,0.153580842180603,0.476923076923077,0.153846153846154,0.353846153846154,0.0588235294117647,0,0,3,12,5,0.416666666666667,9,1,0.111111111111111,12,-0.564949893670221,65,NA,0.0306048738663127,0.451450189155107,0.120638923917612,0.448912198912199,NA,63.6666666666667,0.0540334575042718,16,20,7,11,12,23
2025,6,"BAL",1,73,37,36,0.506849315068493,3.95890410958904,3.16216216216216,4.77777777777778,-0.329270453905449,-0.499164386130728,-0.154657245785024,0.397260273972603,0.0821917808219178,0.328767123287671,0.108108108108108,3,0.0410958904109589,0,17,7,0.411764705882353,11,0,0,12,-0.548356599014369,73,NA,-0.24736386897136,0.407746888709822,0.0898155609275674,0.362254901960784,0.122222222222222,54.6666666666667,-0.361361529992446,29,29,23,23,14,28
2025,6,"BUF",1,54,30,24,0.555555555555556,5.38888888888889,5.23333333333333,5.58333333333333,-0.118884553370191,-0.238928412553893,0.0311702706094366,0.462962962962963,0.0740740740740741,0.37037037037037,0.133333333333333,2,0.037037037037037,2,9,2,0.222222222222222,4,2,0.5,10,-0.401341974033858,54,NA,0.0202626537943246,0.475395499966441,0.114553846032366,0.37037037037037,0.313186813186813,55.3333333333333,-0.130888939288561,25,26,11,15,26,2.5
2025,6,"CAR",1,61,25,36,0.409836065573771,6.77049180327869,7.76,6.08333333333333,0.282718423503993,0.382613677721147,0.213346719186524,0.590163934426229,0.147540983606557,0.163934426229508,0.04,0,0,3,8,3,0.375,8,2,0.25,8,-0.0839975835518195,61,NA,0.131673012757607,0.510823875577974,0.129949558638083,0.395562770562771,0.307575757575758,62,0.314906894307298,1,4,4,1,19.5,9.5
2025,6,"CHI",1,59,33,26,0.559322033898305,6.49152542372881,7.15151515151515,5.65384615384615,0.165527260674516,0.0992670944965919,0.24962670236188,0.525423728813559,0.152542372881356,0.338983050847458,0.0909090909090909,0,0,2,10,3,0.3,7,1,0.142857142857143,8,0.0402192579349503,59,NA,0.118946454386075,0.480796360420928,0.115562710514415,0.436309523809524,0.127832951362363,58.3333333333333,0.159410937642707,7,15,2,7,24,19
2025,6,"CIN",1,61,45,16,0.737704918032787,4.42622950819672,4.77777777777778,3.4375,0.0929051832784652,0.144570480326675,-0.0524034646696236,0.491803278688525,0.0163934426229508,0.344262295081967,0.0222222222222222,0,0,2,14,6,0.428571428571429,10,2,0.2,11,0.0557062688681907,61,NA,-0.104237368504844,0.417484969253735,0.0543366613254448,0.324675324675325,0.2,53.3333333333333,0.0657809023281553,15,13,17,8,10,11.5
2025,6,"CLE",1,73,57,16,0.780821917808219,3.17808219178082,2.96491228070175,3.9375,-0.207016911071747,-0.294901071768306,0.106070411409746,0.356164383561644,0.0273972602739726,0.452054794520548,0.105263157894737,0,0,0,16,6,0.375,12,0,0,16,-0.141508789942624,73,NA,-0.18756341582829,0.345804794520548,0.0658631893220934,0.263095238095238,0.075,67.3333333333333,-0.134512478497085,26,27,8,28,19.5,28
2025,6,"DAL",1,52,34,18,0.653846153846154,5.63461538461539,7.67647058823529,1.77777777777778,0.179611804286581,0.521922016802871,-0.466974152688636,0.403846153846154,0.0576923076923077,0.346153846153846,0,0,0,3,12,5,0.416666666666667,14,2,0.142857142857143,0,NA,52,NA,0.280094106175144,0.470754554087887,0.0977941811275145,0.438888888888889,0.252164502164502,57.3333333333333,0.126363549006269,10,2,30,22,12,19
2025,6,"DEN",1,55,31,24,0.563636363636364,4.50909090909091,5.41935483870968,3.33333333333333,-0.0856510583049511,0.00898227732083693,-0.207885783488261,0.345454545454545,0.0363636363636364,0.363636363636364,0.032258064516129,1,0.0181818181818182,1,15,5,0.333333333333333,5,1,0.2,0,NA,55,NA,0.0790180785434564,0.450573894052155,0.086151764412634,0.427350427350427,0.245238095238095,66,-0.0777649470028021,23,19,24,29,22.5,11.5
2025,6,"DET",1,53,30,23,0.566037735849057,5.60377358490566,6.63333333333333,4.26086956521739,0.112325160200752,0.223771712703941,-0.0330399082816692,0.528301886792453,0.0943396226415094,0.169811320754717,0.0333333333333333,0,0,2,11,5,0.454545454545455,7,1,0.142857142857143,3,-0.141365885773363,53,NA,0.0640532848225743,0.479744353627174,0.0927375890136565,0.38961038961039,0.277777777777778,54,0.121047064309697,11,10,16,6,6.5,19
2025,6,"GB",1,59,27,32,0.457627118644068,6.93220338983051,9.48148148148148,4.78125,0.208029896680662,0.272448597907226,0.153676617520749,0.576271186440678,0.169491525423729,0.220338983050847,0.037037037037037,1,0.0169491525423729,3,11,5,0.454545454545455,6,3,0.5,4,-0.712523784989323,59,NA,0.14875487377498,0.498606403013183,0.109001883239171,0.567469567469567,0.314814814814815,64.3333333333333,0.224939805752635,4,9,6,2,6.5,2.5
2025,6,"IND",1,56,31,25,0.553571428571429,6.375,6.61290322580645,6.08,0.149323539894745,0.091878162157274,0.220555808289209,0.535714285714286,0.142857142857143,0.232142857142857,0.032258064516129,1,0.0178571428571429,4,8,4,0.5,13,4,0.307692307692308,8,-0.123143383170827,56,NA,0.101122743367171,0.498913731901669,0.100923511996819,0.544444444444445,0.326806526806527,56.6666666666667,0.143349220610048,9,16,3,4,3.5,7.5
2025,6,"JAX",1,67,48,19,0.716417910447761,3.83582089552239,4.10416666666667,3.15789473684211,-0.0637994244001146,-0.0661632392835834,-0.0578276815366147,0.373134328358209,0.0447761194029851,0.402985074626866,0.145833333333333,0,0,2,15,3,0.2,1,0,0,4,0.0428649647551456,67,NA,0.0159576233301465,0.43980693350225,0.0885328001900313,0.362962962962963,0.138095238095238,59,-0.0628290161847959,22,23,18,27,27,28
2025,6,"KC",1,58,33,25,0.568965517241379,6.17241379310345,7.36363636363636,4.6,0.267526656533969,0.471896481418404,-0.00224151231348515,0.551724137931034,0.103448275862069,0.206896551724138,0.0909090909090909,0,0,4,9,4,0.444444444444444,16,4,0.25,6,0.450448503625618,58,NA,0.256235697812658,0.559466913339158,0.103865106691562,0.452380952380952,0.281713900134953,61.6666666666667,0.282241283925649,2,3,12,3,8,9.5
