"season","week","offense_team","games_played","total_plays","pass_plays","run_plays","pass_rate","avg_yards_per_play","avg_yards_per_pass","avg_yards_per_run","avg_epa_per_play","avg_epa_pass","avg_epa_run","success_rate","explosive_play_rate","stuff_rate","sack_rate","turnovers_lost","turnover_rate","touchdowns","third_down_attempts","third_down_conversions","third_down_rate","red_zone_plays","red_zone_tds","red_zone_td_rate","two_min_plays","two_min_epa","plays_per_game","seconds_per_play","roll3_epa","roll3_success_rate","roll3_explosive_rate","roll3_third_down","roll3_red_zone_td","roll3_pace","composite_epa","epa_rank","pass_epa_rank","run_epa_rank","success_rank","third_down_rank","red_zone_rank"
2025,9,"ARI",1,63,36,27,0.571428571428571,5.41269841269841,6.13888888888889,4.44444444444444,0.113321308813099,0.194732458284818,0.00477310951747414,0.476190476190476,0.0952380952380952,0.349206349206349,0.138888888888889,0,0,3,13,7,0.538461538461538,12,3,0.25,8,0.445081972167827,63,NA,0.0394991178200335,0.450503389761702,0.0997340965371656,0.573260073260073,0.19949494949495,66.6666666666667,0.11874871877788,9,9,15,16,8.5,9.5
2025,9,"ATL",1,53,37,16,0.69811320754717,5.43396226415094,5.86486486486486,4.4375,0.0946198837896948,0.134927818640935,0.00140778444620082,0.415094339622642,0.0943396226415094,0.339622641509434,0.027027027027027,0,0,3,10,1,0.1,13,3,0.230769230769231,5,-0.00171032261569053,53,NA,-0.115297041041681,0.413987385238199,0.0580270006506181,0.245454545454546,0.243589743589744,53,0.0815198049630416,10,11,17,20,28,13
2025,9,"BAL",1,52,24,28,0.461538461538462,6.48076923076923,7.83333333333333,5.32142857142857,0.267010360533067,0.526634636005232,0.0444752672712119,0.519230769230769,0.173076923076923,0.211538461538462,0.0833333333333333,0,0,4,11,5,0.454545454545455,10,4,0.4,3,-0.11683819295528,52,NA,0.0532396097396424,0.46621130011541,0.132708615585328,0.422103386809269,0.188888888888889,60.3333333333333,0.333770888511624,4,2,13,6,14,2.5
2025,9,"BUF",1,63,29,34,0.46031746031746,6.42857142857143,9.06896551724138,4.17647058823529,0.23137387021058,0.331151311591886,0.146269581973583,0.555555555555556,0.142857142857143,0.142857142857143,0.103448275862069,0,0,4,12,7,0.583333333333333,7,3,0.428571428571429,6,0.805449344307551,63,NA,0.159995267443189,0.503347980749111,0.123157863270858,0.480639730639731,0.383597883597884,58.6666666666667,0.257198619744565,6,7,11,4,4,1
2025,9,"CAR",1,53,21,32,0.39622641509434,4.9811320754717,4.85714285714286,5.0625,0.0838771649539064,-0.157403945816138,0.242217893896748,0.490566037735849,0.0754716981132075,0.283018867924528,0.0476190476190476,1,0.0188679245283019,1,10,4,0.4,13,1,0.0769230769230769,7,0.189920961798167,53,NA,-0.112094531973044,0.420874953755087,0.0724261402674277,0.352584670231729,0.108974358974359,59,0.00244479006901661,17,25,5,14,18.5,23
2025,9,"CHI",1,76,40,36,0.526315789473684,7.55263157894737,7.325,7.80555555555556,0.445446723267141,0.470460109091059,0.417654072351676,0.552631578947368,0.157894736842105,0.263157894736842,0.05,0,0,6,15,8,0.533333333333333,18,4,0.222222222222222,17,0.331672677409118,76,NA,0.197893643951357,0.480043859649123,0.165131578947368,0.427777777777778,0.144159544159544,66.6666666666667,0.449337694395306,2,4,1,5,11,14
2025,9,"CIN",1,63,49,14,0.777777777777778,7.90476190476191,9.20408163265306,3.35714285714286,0.316261534424811,0.441831110845979,-0.123231983049274,0.507936507936508,0.174603174603175,0.301587301587302,0.0612244897959184,3,0.0476190476190476,4,9,5,0.555555555555556,8,2,0.25,15,1.05850037270091,63,NA,0.303406512401797,0.533796593766609,0.154319665564043,0.512820512820513,0.211111111111111,63.3333333333333,0.215805873287878,7,5,20,9.5,6,9.5
2025,9,"DAL",1,63,42,21,0.666666666666667,5.19047619047619,4.85714285714286,5.85714285714286,-0.106923515868279,-0.240912286429657,0.161054025254478,0.444444444444444,0.0952380952380952,0.349206349206349,0.119047619047619,3,0.0476190476190476,1,12,5,0.416666666666667,12,1,0.0833333333333333,5,-0.171862987510394,63,NA,0.0262235374640619,0.452678129818743,0.0759111709622314,0.411616161616162,0.183333333333333,62.3333333333333,-0.0801257617560029,21,26,10,18,16.5,22
2025,9,"DEN",1,62,39,23,0.629032258064516,4.40322580645161,4.43589743589744,4.34782608695652,-0.090001143243883,-0.0897476838777417,-0.0904309221690791,0.32258064516129,0.0806451612903226,0.419354838709677,0.0256410256410256,1,0.0161290322580645,2,15,6,0.4,1,0,0,12,-0.115030061493478,62,NA,0.113935830564367,0.423544197737746,0.120388213936601,0.426373626373626,0.130781499202552,64.6666666666667,-0.0900209791942767,22,20,18,26,18.5,26.5
2025,9,"DET",1,62,42,20,0.67741935483871,4.91935483870968,5.71428571428571,3.25,-0.00707745663285692,0.0983049906281761,-0.228380595881026,0.354838709677419,0.0645161290322581,0.370967741935484,0.119047619047619,1,0.0161290322580645,3,17,5,0.294117647058824,10,1,0.1,4,0.673065192837385,62,NA,-0.00251383188882972,0.418036112801785,0.0959626699127612,0.332887700534759,0.247619047619048,59,-0.0323692439755049,18,12,24,25,22,21
2025,9,"GB",1,63,38,25,0.603174603174603,5.85714285714286,6.97368421052632,4.16,0.0425245281032416,0.155263117684236,-0.12883812805987,0.507936507936508,0.0952380952380952,0.26984126984127,0.0263157894736842,2,0.0317460317460317,1,13,7,0.538461538461538,15,1,0.0666666666666667,8,0.321889588258341,63,NA,0.144155110502045,0.49042328042328,0.102857142857143,0.400699300699301,0.188888888888889,57.6666666666667,0.0416226193865936,15,10,21,9.5,8.5,24
2025,9,"HOU",1,69,43,26,0.623188405797101,3.49275362318841,4.09302325581395,2.5,-0.202843116405166,-0.116396210102748,-0.34581299990532,0.27536231884058,0.0289855072463768,0.420289855072464,0.0930232558139535,0,0,0,17,3,0.176470588235294,12,0,0,10,-0.243410183934473,69,NA,-0.0751739179892762,0.380863069865627,0.0676450290261032,0.306442577030812,0.0648148148148148,69,-0.208162926023777,27,23,26,28,25,26.5
2025,9,"IND",1,72,53,19,0.736111111111111,4.88888888888889,5.60377358490566,2.89473684210526,-0.154002772353656,-0.347599444721609,0.386030050567474,0.5,0.0416666666666667,0.361111111111111,0.0943396226415094,5,0.0694444444444444,2,14,6,0.428571428571429,10,2,0.2,5,0.179926638433244,72,NA,0.235199037006464,0.495757575757576,0.109646464646465,0.43452380952381,0.344444444444444,59,-0.0541476466059757,19,27,2,11.5,15,15.5
2025,9,"JAX",1,74,33,41,0.445945945945946,4.7972972972973,6.06060606060606,3.78048780487805,0.112144003193146,-0.118962857206026,0.298156842051016,0.5,0.0945945945945946,0.297297297297297,0.0303030303030303,1,0.0135135135135135,3,16,9,0.5625,25,3,0.12,9,0.100414213269798,74,NA,-0.0416298646418443,0.425304035378662,0.0834939417028969,0.320833333333333,0.04,71,0.0478850224967905,14,24,3,11.5,5,20
